Altcoin,Label,Price,Mkt_Cap_BTC,Mkt_Cap_USD,Trdg_Vol_Day,Trdg_Vol_Week,Trdg_Vol_Month,Inflation_in_BTC_Day,Inflation_in_USD_Day,Inflation_in_BTC_Week,Inflation_in_USD_Week,Inflation_in_BTC_Month,Inflation_in_USD_Month,,,,,,,,
,,,,,Day,Week,Month,Day,"Day, $",Week,"Week, $",Month,"Month, $",3-Month,"3-Month, $",6-Month,"6-Month, $",Year,"Year, $","1-Month
inflation,%",Launch
Pascalcoin,PASC,0.000328,20688,284700696,833598,6743625,42124830,-9.49%,-8.76%,-3.81%,-12.54%,+296.57%,+182.07%,+669.23%,+1781.24%,+62.56%,+864.03%,-51.62%,+646.14%,5.42,2016
Chronobank,TIME,0,0,0,0,0,550507,+0%,+0%,+0%,+0%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,-100%,0,2016
Marscoin,MARS,2.5E-06,120,1651427,10356,61786,636749,-20.38%,-19.74%,-13.49%,-21.34%,+455.56%,+295.16%,+541.03%,+1467.7%,+5.49%,+525.56%,+3471.43%,+54981.93%,0,2014
BottleCaps,CAP,1.05E-06,498,6854148,16864,62667,62667,+5%,+5.85%,+1400%,+1263.93%,+1400%,+966.92%,+707.69%,+1875.3%,+162.5%,+1456.7%,+156.1%,+3849.78%,5.13,2013
CryptoBullion,CBX,0.00049023,578,7951152,5358,77892,247101,+0.71%,+1.53%,+22.64%,+11.51%,+219.49%,+127.25%,+167.89%,+555.14%,+32.11%,+683.42%,+476.74%,+8795.04%,0.15,2013
Digitalcoin,DGC,8.74E-06,1311,18041838,11813,104708,364898,+1.16%,+1.98%,+8.98%,-0.91%,+542.65%,+357.1%,+1381.36%,+3522.82%,-38.54%,+264.49%,+2.82%,+1485.84%,1.07,2013
Emerald,EMD,3.22E-06,101,1395824,3244,42670,98449,-0.31%,+0.5%,-11.05%,-19.12%,+323.68%,+201.36%,+182.46%,+590.78%,-63.45%,+116.75%,+475%,+8768.19%,0,2013
Goldcoin,GLD,2.885E-05,2164,29777289,29938,308330,920499,-10.07%,-9.34%,-14.29%,-22.06%,+205.61%,+117.38%,+25.82%,+207.7%,-24.65%,+346.82%,+86.13%,+2770.66%,0.17,2013
HoboNickels,HBN,2.87E-06,344,4739595,7540,117257,175209,+10.81%,+11.71%,-28.25%,-34.76%,+222.47%,+129.37%,+141.18%,+489.82%,-15.34%,+402.06%,+378.33%,+7277.31%,7.46,2013
Megacoin,MEC,1.608E-05,675,9294230,360542,842843,1343899,+11.2%,+12.1%,+62.75%,+47.99%,+152.83%,+79.83%,+264.63%,+791.73%,+323.16%,+2409.44%,-80.47%,+201.26%,0.57,2013
IXcoin,IXC,3.57E-05,750,10317289,37223,104630,212354,-13.18%,-12.48%,-11.06%,-19.13%,+265.78%,+160.17%,+262.07%,+785.48%,-2.27%,+479.55%,+346.25%,+6782.49%,0,2011
Netcoin,NET,4.3E-07,2580,35505676,47265,643581,1631274,-14%,-13.30%,-35.82%,-41.64%,+514.29%,+336.93%,+258.33%,+776.34%,+95.45%,+1059.1%,+330%,+6531.86%,0,2013
Novacoin,NVC,0.00045203,2034,27993542,7203,57602,161532,-21.40%,-20.76%,-13.40%,-21.26%,+0.69%,-28.38%,-10.24%,+119.53%,-85.42%,-13.53%,-24.66%,+1061.94%,1.44,2012
PhilosopherStone,PHS,8.11E-06,72,992409,4535,50937,98280,+5.46%,+6.32%,+35.17%,+22.91%,+195.99%,+110.53%,+155.84%,+525.67%,-38.88%,+262.43%,+1010.96%,+17034.25%,0,2013
Quark,QRK,3.21E-06,831,11441498,13349,289070,935333,+4.56%,+5.41%,-14.17%,-21.96%,+260.67%,+156.54%,+179.13%,+582.64%,-76.81%,+37.54%,+100.63%,+2994.23%,0.22,2013
Sexcoin,SXC,5.87E-06,1468,20195574,29232,218847,1280143,-26.53%,-25.94%,-39.04%,-44.57%,+30.44%,-7.22%,+69.65%,+314.91%,+15.1%,+582.56%,+878.33%,+14988.78%,0.17,2013
Worldcoin,WDC,4.17E-06,1107,15231725,20882,264746,777960,+0.72%,+1.54%,-0.71%,-9.72%,+279.09%,+169.64%,+136.93%,+479.44%,-86.55%,-20.23%,+5.57%,+1528.19%,0.21,2013
Argentum,ARG,1.609E-05,402,5535720,85781,524844,639573,-35.64%,-35.12%,+168.61%,+144.25%,+1263.56%,+869.87%,+979.87%,+2540.93%,+357.1%,+2610.74%,+3118%,+49531.02%,1.92,2013
BitGem,BTG,0.0007329,95,1311192,19780,146838,295062,+24.85%,+25.86%,+8.98%,-0.90%,+137.42%,+68.87%,+417.62%,+1165.9%,-16.51%,+395.11%,+1565.68%,+25589.71%,0.51,2013
Terracoin,TRC,4.127E-05,1733,23854034,17844,167545,390029,-13.86%,-13.16%,+6.67%,-3.01%,+123.08%,+58.67%,+106.25%,+404.4%,+23.67%,+633.42%,+966.41%,+16347.15%,0.86,2012
Fluttercoin,FLT,9.3E-07,465,6399279,18884,303299,1602829,-10.58%,-9.85%,-28.46%,-34.95%,+830%,+561.49%,+675%,+1795.35%,+210%,+1738.39%,+2225%,+35758.34%,35.45,2014
Mintcoin,MINT,8E-08,2800,38533292,412931,12149620,34424222,-20%,-19.35%,-52.94%,-57.21%,+300%,+184.51%,+700%,+1856.49%,+33.33%,+690.7%,+700%,+12238.35%,0,2014
Zetacoin,ZET,1.14E-06,194,2667054,39434,257754,493301,-15.56%,-14.87%,-25.49%,-32.25%,+54.05%,+9.58%,+39.02%,+240%,-89.85%,-39.80%,-40.31%,+820.53%,0.12,2013
Kittehcoin,MEOW/LTC,1.3E-07,56,773142,0,0,140574,+0%,-2.10%,+0%,-6.26%,+160%,+95.79%,+333.33%,+1518.46%,+333.33%,+2220.57%,+225%,+19473.9%,n/a,2014
Batcoin,BAT/LTC,1.1E-07,173,2381278,0,0,373094,+0%,-2.10%,+0%,-6.26%,+266.67%,+176.12%,+120%,+721.68%,+175%,+1372.67%,+1000%,+66150.13%,n/a,2014
Leafcoin,LEAF/LTC,2E-07,73,999138,0,0,154415,+0%,-2.10%,+0%,-6.26%,+566.67%,+402.04%,+900%,+3634.9%,+233.33%,+1685.06%,+300%,+23990.96%,n/a,2014
Fireflycoin,FFC/LTC,1.26E-06,18,251783,0,0,8117,+0%,-2.10%,+0%,-6.26%,+425%,+295.35%,+18.87%,+343.96%,-3.82%,+415.08%,+68%,+10018.2%,n/a,2014
Elephantcoin,ELP/LTC,2.4E-06,14,194118,0,0,767,+0%,-2.10%,+0%,-6.26%,+122.22%,+67.35%,+130.77%,+761.9%,+26.32%,+576.44%,-29.20%,+4163.89%,n/a,2013
Rabbitcoin,RBBT/LTC,1.1E-07,190,2616789,0,0,145505,+0%,-2.10%,+0%,-6.26%,+450%,+314.18%,+450%,+1954.2%,+57.14%,+741.53%,+1000%,+66150.13%,n/a,2014
Lottocoin,LOT/LTC,4.1E-07,130,1795322,0,0,129344,+0%,-2.10%,+0%,-6.26%,+241.67%,+157.29%,+115.79%,+705.95%,+51.85%,+713.19%,-18%,+4838.65%,n/a,2014
Dimecoin,DIME/LTC,1.6E-07,1271,17508697,0,0,1374933,+0%,-2.10%,+0%,-6.26%,+433.33%,+301.63%,+166.67%,+895.97%,+77.78%,+852.03%,+166.67%,+15960.64%,n/a,2014
Fedoracoin,TIPS/LTC,0,0,0,0,0,0,+0%,+0%,+0%,+0%,+0%,+0%,-100%,-100%,-100%,-100%,-100%,-100%,n/a,2013
Infinitecoin,IFC/LTC,0,0,0,0,0,0,+0%,+0%,+0%,+0%,+0%,+0%,-100%,-100%,-100%,-100%,-100%,-100%,n/a,2013
